category,has_experience,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,category_encoded
HR,0,0.45046750740992153,-0.12059279558013052,0.07546270773457796,-0.09764473547190122,-0.053462514858099636,0.05495748780634131,-0.16044115043888904,0.38707051354493577,0.006657602472281806,0.18208275958396486,36
HR,0,0.376529097279377,0.025326080139524212,0.0459233651876364,0.054691278917998895,-0.18832003919533621,-0.021387043113182878,-0.09582252143449536,0.4638108159901359,0.06241521653230112,0.27208422023130746,36
HR,1,0.3849682805328986,0.05157962202448518,0.012160849210791502,-0.07645582237842853,-0.08580187970637888,-0.07438430110433461,-0.008087573582478844,0.2942194378404915,0.017164535759982894,0.14883449132703913,36
HR,0,0.3918202894056142,-0.08823629195917092,0.07254538951785336,-0.0808644326943748,-0.05966004028450677,0.05606666825113127,-0.15392213395358093,0.45554978550145564,0.026754735095698715,0.2061999144118644,36
HR,1,0.41800029060785016,-0.04303695066282776,0.07244649739415522,-0.05533543404216922,-0.16800851160223648,0.0014491859173289545,-0.1606305026757626,0.5081426311778682,0.06855354936585115,0.24076734301900451,36
HR,1,0.45276943237219464,-0.145135280691398,-0.13139957090317977,-0.10704370190919096,-0.003118370278361109,0.13757295237562256,-0.08230250306492642,-0.015498459745054845,0.00022601169368406573,0.05755542058669592,36
HR,0,0.4167125642620919,-0.03972219915265589,0.11433578307660362,-0.07043221966737008,-0.15311853786352256,0.04134291930304773,-0.15385345487070357,0.46838877373067733,0.06343729047409333,0.22689064129566297,36
HR,0,0.3594800251345289,-0.018080167093260234,0.11360723357192681,-0.05904710037067748,-0.09286836728846241,0.05640105451803087,-0.14518951850414247,0.3653001129871341,0.12087315124510029,0.21549492105721427,36
HR,0,0.38452944339348916,-0.04963185063482953,0.05388095254634522,-0.12055765767716445,-0.03801366525699339,0.0296240263909418,-0.1417978480410636,0.3459005820004507,0.03272271347044687,0.16469587295365634,36
HR,0,0.35541142190033814,0.019755698756945432,0.0417425743747619,-0.07118148760306489,-0.12265507562321629,0.05664257165204571,-0.10914661543818743,0.23380076705394467,0.040001106214113374,0.08641824600844052,36
HR,0,0.36929424973177855,0.015039707957455397,0.06152050329389108,0.01006094866848697,-0.11612012773038762,0.08605246940515464,-0.08011347732176503,0.22528277448637082,0.054750074979970725,0.09728075503502201,36
HR,0,0.38474661279706035,0.005215437323111574,0.12556847183056294,-0.008542801769548775,-0.1570566761849285,0.04184316892905544,-0.1731565416909214,0.5192779701769071,0.08650726743495515,0.24613575208969307,36
HR,0,0.3838586064342437,-0.08900126700371455,-0.03719856392889373,-0.22692104326303916,-0.021010857296567216,0.06965871656136606,-0.2120476252876597,0.18396141188573042,-0.07959365018672496,-0.027827760311741275,36
